time: 2000000000
329 16 1
329 17 1
329 18 1
329 19 1
329 20 1
330 1 1
330 2 1
330 3 1
330 4 1
330 5 1
330 6 1
330 7 1
330 8 1
330 9 1
330 10 1
330 11 1
330 12 1
330 13 1
330 14 1
330 15 1
330 16 1
330 17 1
330 18 1
330 19 1
330 20 1
331 1 1
331 2 1
331 3 1
331 4 1
331 5 1
331 6 1
331 7 1
331 8 1
331 9 1
331 10 1
331 11 1
331 12 1
331 13 1
331 14 1
331 15 1
331 16 1
331 17 1
331 18 1
331 19 1
331 20 1
332 1 1
332 2 1
332 3 1
332 4 1
332 5 1
332 6 1
332 7 1
332 8 1
332 9 1
332 10 1
332 11 1
332 12 1
332 13 1
332 14 1
332 15 1
332 16 1
332 17 1
332 18 1
332 19 1
332 20 1
333 1 1
333 2 1
333 3 1
333 4 1
333 5 1
333 6 1
333 7 1
333 8 1
333 9 1
333 10 1
333 11 1
333 12 1
333 13 1
333 14 1
333 15 1
333 16 1
333 17 1
333 18 1
333 19 1
333 20 1
334 1 1
334 2 1
334 3 1
334 4 1
334 5 1
334 6 1
334 7 1
334 8 1
334 9 1
334 10 1
334 11 1
334 12 1
334 13 1
334 14 1
334 15 1
334 16 1
334 17 1
334 18 1
334 19 1
334 20 1
335 1 1
335 2 1
335 3 1
335 4 1
335 5 1
335 6 1
335 7 1
335 8 1
335 9 1
335 10 1
335 11 1
335 12 1
335 13 1
335 14 1
335 15 1
335 16 1
335 17 1
335 18 1
335 19 1
335 20 1
336 1 1
336 2 1
336 3 1
336 4 1
336 5 1
336 6 1
336 7 1
336 8 1
336 9 1
336 10 1
336 11 1
336 12 1
336 13 1
336 14 1
336 15 1
336 16 1
336 17 1
336 18 1
336 19 1
336 20 1
337 1 1
337 2 1
337 3 1
337 4 1
337 5 1
337 6 1
337 7 1
337 8 1
337 9 1
337 10 1
337 11 1
337 12 1
337 13 1
337 14 1
337 15 1
337 16 1
337 17 1
337 18 1
337 19 1
337 20 1
338 1 1
338 2 1
338 3 1
338 4 1
338 5 1
338 6 1
338 7 1
338 8 1
338 9 1
338 10 1
338 11 1
338 12 1
338 13 1
338 14 1
338 15 1
338 16 1
338 17 1
338 18 1
338 19 1
338 20 1
339 1 1
339 2 1
339 3 1
339 4 1
339 5 1
339 6 1
339 7 1
339 8 1
339 9 1
339 10 1
339 11 1
339 12 1
339 13 1
339 14 1
339 15 1
339 16 1
339 17 1
339 18 1
339 19 1
339 20 1
340 1 1
340 2 1
340 3 1
340 4 1
340 5 1
340 6 1
340 7 1
340 8 1
341 1 1
341 2 1
341 3 1
341 4 1
341 5 1
341 6 1
341 7 1
341 8 1
342 1 1
342 2 1
342 3 1
342 4 1
342 5 1
342 6 1
342 7 1
342 8 1
343 1 1
343 2 1
343 3 1
343 4 1
343 5 1
343 6 1
343 7 1
343 8 1
344 1 1
344 2 1
344 3 1
344 4 1
344 5 1
344 6 1
344 7 1
344 8 1
345 1 1
345 2 1
345 3 1
345 4 1
345 5 1
345 6 1
345 7 1
345 8 1
346 1 1
346 2 1
346 3 1
346 4 1
346 5 1
346 6 1
346 7 1
346 8 1
347 1 1
347 2 1
347 3 1
347 4 1
347 5 1
347 6 1
347 7 1
347 8 1
348 1 1
348 2 1
348 3 1
348 4 1
348 5 1
348 6 1
348 7 1
348 8 1
349 1 1
349 2 1
349 3 1
349 4 1
349 5 1
349 6 1
349 7 1
349 8 1
350 1 1
350 2 1
350 3 1
350 4 1
350 5 1
350 6 1
350 7 1
350 8 1
351 1 1
351 2 1
351 3 1
351 4 1
351 5 1
351 6 1
351 7 1
351 8 1
352 1 1
352 2 1
352 3 1
352 4 1
352 5 1
352 6 1
352 7 1
352 8 1
353 1 1
353 2 1
353 3 1
353 4 1
353 5 1
353 6 1
353 7 1
353 8 1
354 1 1
354 2 1
354 3 1
354 4 1
354 5 1
354 6 1
354 7 1
354 8 1
355 1 1
355 2 1
355 3 1
355 4 1
355 5 1
355 6 1
355 7 1
355 8 1
356 1 1
356 2 1
356 3 1
356 4 1
356 5 1
356 6 1
356 7 1
356 8 1
357 1 1
357 2 1
357 3 1
357 4 1
357 5 1
357 6 1
357 7 1
357 8 1
358 1 1
358 2 1
358 3 1
358 4 1
358 5 1
358 6 1
358 7 1
358 8 1
359 1 1
359 2 1
359 3 1
359 4 1
359 5 1
359 6 1
359 7 1
359 8 1
360 1 1
360 2 1
360 3 1
360 4 1
360 5 1
361 1 1
361 2 1
361 3 1
361 4 1
361 5 1
362 1 1
362 2 1
362 3 1
362 4 1
362 5 1
363 1 1
363 2 1
363 3 1
363 4 1
363 5 1
364 1 1
364 2 1
364 3 1
364 4 1
364 5 1
365 1 1
365 2 1
365 3 1
365 4 1
365 5 1
366 1 1
366 2 1
366 3 1
366 4 1
366 5 1
367 1 1
367 2 1
367 3 1
367 4 1
367 5 1
368 1 1
368 2 1
368 3 1
368 4 1
368 5 1
369 1 1
369 2 1
369 3 1
369 4 1
369 5 1
370 1 1
370 2 1
370 3 1
370 4 1
370 5 1
371 1 1
371 2 1
371 3 1
371 4 1
371 5 1
372 1 1
372 2 1
372 3 1
372 4 1
372 5 1
373 1 1
373 2 1
373 3 1
373 4 1
373 5 1
374 1 1
374 2 1
374 3 1
374 4 1
374 5 1
375 1 1
375 2 1
375 3 1
375 4 1
375 5 1
time: 2100000000
320 1 991110 4167 984 453 221 182 159 127 103 64 65 73 81 107 116 116 121 76 76 40 24 30 48 57 51 34 64 51 79 88 71 65 60 68 74 49 77 96 106 99 65 24 6 23 10 7 5 5 6 8 18 14 7 6 4 8 10 5 13 7 9 9
320 2 984828 4524 1101 423 337 257 273 205 175 213 181 181 155 155 162 165 187 110 97 125 124 120 145 134 118 118 157 123 85 57 52 52 48 49 43 61 44 75 67 59 44 33 22 26 32 26 26 24 17 16 17 27 33 23 24 25 24 23 15 21 19 25 30 21 13 20 18 27 20 20 25 26 15 17 39 10 24 20 24 13 32 30 16 11 12 18 22 22 23 33 41 18 17 12 13 28 26 28 24 26 19 16 24 23 29 19 28 21 19 37 21 21 35 27 25 14 18 29 28 26 20 33 28 25 37 33 39 32 22 23 38 21 24 34 27 28 31 34 37 30 38 45 49 31 33 19 30 40 55 43 29 46 73 51 47 19 13 6 17 19 12 9 20 28 15 11 17 3 14 11 14 22 16 19 16 9 13 18 31 39 14 9 21 9 11 32 34 24 26 32 24 26 43 34 31 61 23 35 88 90 63 80 71 38 4 2
320 3 986115 4975 1514 594 224 177 265 325 209 142 148 153 139 77 108 95 71 72 79 78 88 127 143 112 91 48 80 93 83 97 78 100 91 120 126 133 158 147 107 97 138 334 282 38 36 26 29 26 45 42 25 32 40 40 25 21 18 39 29 30 26 31 20 56 60 80 50 13 11 26 21 20 28 29 19 28 24 21 28 35 22 25 38 44 21 37 48 54 83 28 1
320 4 974174 11726 3908 1374 774 536 395 365 237 135 120 125 127 128 101 125 109 78 87 98 118 92 100 79 143 104 75 67 55 42 49 53 36 43 51 53 48 43 54 40 49 49 34 31 33 43 40 43 41 16 30 34 30 39 24 38 27 25 37 34 37 30 20 19 30 26 35 29 29 38 24 31 38 24 36 40 31 33 33 45 31 15 28 30 16 21 28 33 25 13 17 21 14 15 14 24 26 19 32 30 25 15 11 12 27 28 29 36 34 36 52 103 106 98 83 102 110 99 107 84 89 69 62 59 87 75 56 68 45 13 5 4 6 6 8 3 4 2 6 1 3 6 2 2 8 6 3 5 3 4 4 8 7 5 5 2 2 4 3 11 5 4 2 2 4 7 3 7 3 6 3 5 0 5 7 12 6 2 4 3 5 4 5 9 6 2 4 3 8 3 4 3 2 7 4 6 8 7 2 3 6 6 2
320 5 994503 2734 388 148 63 50 56 56 36 64 65 49 62 56 49 57 22 44 63 78 44 39 53 40 32 26 31 12 19 30 37 14 24 20 25 22 32 28 29 9 22 22 11 11 8 12 7 11 14 4 13 13 13 8 12 6 6 10 5 23 17 14 15 3 6 12 13 13 20 17 9 8 5 9 29 15 17 9 3 9 17 40 20 3 32 39 72 79 16
320 6 965361 14217 4402 1500 854 715 696 487 379 287 234 246 208 135 146 122 133 160 215 245 166 164 152 128 105 104 113 115 96 97 101 108 123 118 142 132 76 71 99 132 133 118 128 113 79 93 80 58 39 22 28 16 19 28 24 31 29 32 25 25 14 20 43 28 25 30 24 33 38 21 30 34 29 35 36 29 23 36 31 50 70 57 57 43 55 52 44 70 50 75 65 38 34 59 75 63 73 67 65 80 72 72 58 68 70 57 86 59 47 64 82 99 122 91 82 61 59 37 46 57 43 50 55 56 70 49 44 40 32 75 38 56 73 83 75 112 132 153 131 43 17 11 16 10 26 23 11 10 14 15 11 18 22 20 22 7 23 19 17 11 12 12 22 20 18 25 17 31 30 37 12 13 32 38 40 21 21 30 69 54 55 56 57 67 48 21 15 1
320 7 986699 4718 903 387 402 389 276 186 179 174 140 89 82 81 96 80 69 62 71 73 89 79 58 40 33 42 43 56 34 56 86 78 51 39 31 21 36 16 22 36 34 36 19 8 40 35 20 22 27 29 31 39 16 15 18 7 42 21 33 21 20 39 36 25 17 24 18 32 37 27 30 39 38 26 26 9 40 43 27 40 35 38 50 50 47 52 31 19 40 34 33 18 13 2 9 7 6 8 15 9 16 14 6 7 5 11 13 17 17 5 8 7 4 19 13 18 16 2 14 15 7 9 16 34 35 13 15 41 77 101 121 71 89 101 61 42 52 40 33 40 48 59 71 52 74 27 31 24 13 24 60 68 73 43 24 7 31 16 18 14 22 10 29 41 40 57 37 34 4 1
320 8 994047 3881 657 65 16 15 11 16 5 5 11 5 11 12 7 13 11 7 9 3 5 7 6 16 19 10 6 7 14 3 4 9 9 7 11 18 7 11 7 6 8 10 8 11 10 5 10 13 9 9 7 5 5 16 10 12 2 6 12 16 9 7 8 4 10 8 0 4 5 5 1 2 1 6 4 3 3 4 5 0 1 8 6 0 3 4 4 2 4 4 7 0 4 2 5 5 1 4 5 3 3 3 4 4 3 2 4 4 5 1 2 5 3 0 3 4 3 5 3 4 5 2 1 4 5 5 1 5 4 3 2 4 6 3 1 5 6 3 1 2 3 5 4 7 3 5 1 4 7 2 2 2 6 4 2 1 5 3 5 1 5 2 6 3 0 3 3 6 2 3 4 4 1 6 2 3 4 6 4 3 3 5 7 3 1 2 4 2 4 2 4 5 3 5 2 1 7 4 4 2 4 5 2 5 6 4 2 2 6 2 1 6 2 4 4 3 1 6 4 4 2 3 5 4 3 2 2 7 1 5 2 5 5 4 4 6 2 2 4 3 4 2 5 3 3 3 4 6 4 6 2 3 2 4 5 3 3 3 4 2 7 4 5 4 3 4 2 1 9 3 1 4 6 1 1 4 4 2 8 4 3 1 6 4 2 7 2 5
320 9 993218 3267 400 43 20 29 34 12 15 24 39 26 27 22 30 31 13 24 13 40 45 31 24 22 109 276 239 194 139 89 62 49 57 46 43 34 19 46 49 54 57 33 66 44 67 48 48 76 66 57 72 80 91 72 76 71 22 1
320 10 989107 6376 1053 262 143 124 109 84 87 112 122 108 62 96 103 77 61 58 82 157 194 148 110 106 60 92 55 74 63 121 118 110 77 22 16 24 25 33 54 29 50 32 5
320 11 984640 5281 1302 445 147 126 103 75 121 72 108 97 102 107 104 95 102 122 106 122 137 145 103 137 114 111 114 105 131 105 45 22 22 26 18 28 15 27 15 13 21 20 23 13 27 22 21 18 22 28 12 21 7 18 23 19 15 16 8 15 14 24 21 15 20 20 44 38 35 26 24 14 34 54 40 38 33 75 81 37 4 5 3 5 2 3 5 4 5 7 3 1 5 2 5 5 3 3 3 7 3 1 7 2 2 2 2 7 6 4 3 2 5 4 5 2 6 6 4 3 6 2 2 2 6 3 4 3 5 2 6 6 4 1 3 6 4 2 2 3 4 3 7 4 6 3 7 5 5 3 4 3 2 3 5 3 7 6 3 4 4 2 3 4 5 1 8 8 4 5 5 3 5 8 4 2 5 2 6 2 1 4 4 5 11 3 2 6 5 3 4 3 4 10 8 3 4 5 3 5 1 6 6 5 2 4 5 3 7 4 4 5 3 4 8 7 7 7 2 6 7 3 3 6 9 3 4 9 8 3 2 7 6 7 5 3 4 7 7 7 3 5 6 4 7 1 7 9 4 5 4 4 6 6 4 3 5 4 8 4 2 5 5 7 5 1 7 4 4 2 4 10 5 5 2 5 5 6 3 6 4 5 7 2 2 4 2 6 9 4 6 5 4 5 6 7 3 3 2 3 4 5 3 4 8 6 6 5 2 1 3 6 8 7 1 4 7 4 5 9 8 2 3 5 3 5 6 5 3 10 4 3 2 3 6 9 8 3 6 3 8 5 7 7 5 0 2 7 5 8 9 5 0 2 4 7 4 9 2 4 6 7 5 6 2 10 3 3 1 9 7 9 13 5 6 6 15 12 12 4 9 7 12 7 8 5 9 4 7 8 9 13 10 6 9 8 17 12 7 8 8 10 8 11 3 5 12 8 12 11 10 9 10 11 11 12 10 7 15 3 9 4 13 10 13 7 7 11 19 13 16 9 11 16 8 5 8 13 14 10 14 5 16 18 15 9 10 10 12 12 8 10 9 5 12 10 8 6 11 15 17 14 6 10 11 14 17 15 9 14 12 17 9 8 10 8 14 19 20 13 13 19 19 12 13 23 21 13 21 22 18 17 19 12 10 27 18 16 22 24 16 14 13 17 20 9 21 16 21 15 19 24 22 21 18 34 19 13 25 31 24 28 26 22 20 23 45 20 34 19 37 57 68 76 50 32 47 76 115 68 32 3
320 12 998761 1145 77 12 5 1
320 13 996667 2428 322 89 49 14 9 5 9 8 5 7 8 6 1 6 3 7 8 5 7 9 5 8 7 7 2 5 9 1 6 4 4 7 9 9 8 44 58 44 33 17 42
320 14 981195 5100 836 231 260 215 182 229 211 165 143 180 196 206 216 195 327 365 393 396 315 251 195 220 292 296 258 164 119 114 106 119 132 171 159 173 129 123 127 164 200 89 39 44 43 28 33 37 37 36 36 54 51 36 29 47 54 53 53 58 54 60 45 44 43 49 48 66 64 81 115 95 101 71 69 32 14 5 5 7 2 4 4 6 6 4 3 7 3 5 3 5 4 2 4 7 3 5 4 3 4 6 4 4 4 3 7 5 3 6 5 4 0 5 4 7 6 3 6 3 4 6 3 4 5 4 4 5 5 7 1 4 4 5 4 7 3 3 6 5 5 5 4 4 5 4 5 5 2 4 3 4 8 4 6 4 4 4 5 4 4 3 6 6 4 5 5 5 1 4 6 4 5 6 6 5 4 5 3 7 2 6 6 3 5 4 5 2 8 4 4 5 5 6 3 5 7 5 6 4 5 4 7 5 2 2 5 7 5 2 6 9 5 2 5 5 7 2 6 7 6 6 2 6 2 5 5 6 5 3 4 7 9 3 5 4 6 6 4 6 6 7 1 5 5 5 6 5 6 5 3 9 5 5 4 7 6 2 6 6 5 3 7 5 6 7 4 7 5 5 11 3 3 9 4 8 3 6 7 2 6 5 5 6 7 4 6 9 6 5 5 5 7 5 7 4 6 8 3 4 6 4 7 6 6 7 7 6 6 7 5 6 7 8 7 8 6 2 6 7 8 4 7 7 5 7 7 6 9 5 8 13 7 6 10 6 1 7 10 4 10 6 6 8 9 7 12 7 6 8 7 8 6 10 6 1 6 6 11 8 8 9 8 6 12 13 13 14 17 16 16 16 8 8 19 19 20 15 12 15 20 21 18 18 20 22 28 25 26 26 21 15 11 27 26 25 18 26 36 21 27 22 28 32 29 23 23 39 39 47 14 53 49 97 237 61
320 15 997611 2166 218 6
320 16 996349 3263 362 26 1
320 17 993178 5851 864 95 10 3
320 18 994315 5181 477 28
320 19 989423 8996 1427 139 14 1 1
320 20 993678 5609 648 61 5
321 1 979844 5389 1779 874 583 392 428 465 537 622 509 387 453 564 432 350 285 147 184 197 197 206 209 198 276 350 357 372 158 101 117 55 96 123 172 106 45 6 21 36 33 24 23 29 27 32 20 32 30 31 27 34 49 32 9 9 34 45 51 45 22 31 58 41 58 72 31 38 83 58 91 79 107 77 57 123 47 14 10 5 10 3 3 1 4 5 3 4 3 3 4 0 2 5 5 3 3 2 2 5 1 5 3 1 5 1 4 6 5 0 2 5 6 2 4 5 4 2 7 3 4 6 1 6 3 6 1 2 6 3 3 2 6 2 3 0 5 1 5 2 4 2 5 6 5 5 2 0 6 5 5 1 5 3 6 2 6 0 4 7 4 3 3 3 5 1 6 1 5 6 2 2 4 2 6 0 3 6 5 3 2 5 4 6 3 4 7 2 4 7 2 9 5 1 3 6 1 5 1 5 4 2 6 6 8 5 6 4 7 3 2 6 4 8 5 4 2 4 4 6 4 5 2 1 4 4 2 5 8 7 5 6 2 5 6 6 5 6 2 7 2 4 3 2 9 7 3 4
321 2 957823 5603 2502 2123 1938 1860 1558 1277 1189 1079 929 939 740 724 654 588 498 424 446 866 426 449 421 424 333 320 321 262 261 244 211 183 203 215 209 194 177 214 304 338 376 349 323 330 308 291 294 218 263 207 191 155 125 129 120 109 104 88 75 68 91 92 84 107 75 69 53 60 53 70 54 71 71 61 50 59 62 50 79 71 82 76 82 70 77 73 55 67 76 55 77 100 65 51 58 62 59 56 46 58 57 72 49 46 42 33 35 29 32 27 34 38 44 29 46 27 54 70 41 24 25 35 29 30 40 33 37 32 27 24 24 12 27 43 18 39 32 22 35 25 35 32 39 27 26 20 32 42 42 51 35 28 31 27 25 32 39 35 34 34 31 34 42 55 61 62 55 33 61 46 52 28 24 22 22 13 5 11 8 5 7 5 11 12 13 11 8 11 6 7 17 19 9 7 19 5 12 4 8 9 9 4 10 10 11 14 10 13 14 12 8 15 9 16 11 12 13 13 13 12 8 6 8 7 5 2 4 9 19 12 3 6 6 7 8 8 8 7 5 11 16 13 16 16 10 10 11 9 3 11 11 13 19 16 23 27 24 19 17 21 21 15 6 1 2
321 3 962030 9736 2439 878 552 424 305 277 244 319 323 321 302 317 321 436 354 295 246 406 296 316 306 292 219 158 160 192 234 275 283 173 151 121 107 116 119 100 116 143 168 105 78 89 84 100 100 94 90 74 88 109 88 91 65 117 93 86 98 100 61 76 96 93 64 67 94 100 62 76 74 103 96 143 113 56 40 36 43 59 43 36 38 37 55 45 38 31 37 64 47 37 38 39 44 44 64 42 30 54 53 49 45 55 46 24 52 65 34 46 49 64 71 29 47 50 62 57 39 49 49 57 42 39 38 58 62 47 46 60 94 71 73 89 88 96 87 87 93 71 74 122 97 160 182 145 61 29 31 29 32 36 44 30 31 21 25 38 35 41 31 35 38 40 36 32 34 22 42 38 33 22 34 39 32 28 26 44 39 41 39 30 30 41 25 39 43 41 50 48 43 47 39 34 44 51 41 39 58 35 59 42 31 39 46 48 44 51 49 58 40 58 49 58 55 50 52 38 41 53 57 45 37 63 52 102 99 89 41 20 13 16 18 13 18 12 18 27 17 20 14 20 25 17 16 16 17 21 31 22 24 21 16 18 18 12 10 14 4 4 20 23 21 21 18 26 19 9 16 14 31 21 20 16 12 10 10 25 38 24 22 26 19 12 10 28 29 14 15 19 22 17 14 19 36 23 11 30 12 18 21 38 28 37 18 29 32 22 12 18 17 9 29 42 28 13 33 15 11 9 30 29 23 28 40 26 29 12 31 39 48 31 53 37 37 62 66 60 42 65 63 59 37 5 2 3 6 1 1 3 3 4 3 3 3 3 2 6 1 6 1 3 2 4 3 2 3 1 5 1 2 5 5 2 2 3 5 8 0 1 2 3 5 3 2 1 6 1 3 3 4 5 1 4 2 5 1 3 2 4 3 5 3 1 2 3 4 3 3 2 4 3 2 4 4 3 3 0 3 6 1 0 5 1 4 2 3 2 5 1 6 2 4 2 4 4 2 4 2 1 2 5 4 1 4 4 4 3 2 3 4 3 2 4 3 2 3 2 2 5 4 2 2 4 4 4 1 2 3 2 5 3 2 4 5 1 1 4 2 5 1 4 3 4 1 5 2 3 2 6 3 2 3 4 2 2 2 2 5 3 1 8 2 3 3 3 3 3 2 3 3 3 1 3 4 3 3 4 6 1 3 3 5 4 0 7 5 4 1 5 1 4 4 5 2 4 4 3 6 3 4 4 4 2 1 3 4 4 1 5 2 6 1 4 4 1 5 4 3 3 5 6 5 3 4 2 7 2 4 5 6 4 2 1 3 0 4 4 3 3 3 3 4 7 4 0 5 5 5 4 1 2 5 4 3 5 3 3 4 4 8 1 3 4 6 4 1 3 3 4 3 1 0 6 3 10 3 3 5 3 5 2 5 4 4 5 8 6 2 3 1 5 3 3 8 4 3 4 6 3 1 2 2 3 5 6 3 0 3 4 7 3 3 4 5 8 5 3 6 3 5 4 7 4 0 2 3 2 7 2 3 1 5 5 4 4 4 3 4 3 0 5 5 9 5 6 2 7 6 3 4 4 5 0 4 5 3 6 1 1 3 6 6 4 5 10 3 6 5 8 1 3 7 8 3 6 5 6 5 5 5 3 3 2 5 2 5 6 7 5 7 6 5 4 9 7 3 13 1 6 4 3 7 1 2 9 4 5 5 8 9 8 6 7 6 6 13 3 5 4 3 3 3 9 5 1 6 8 9 9 4 3 8 6 11 2 8 7 4 5 4 3 5 6 5 5 7 11 8 6 7 8 5 7 4 3 6 7 3 4 13 2 8 6 7 5 7 5 8 8 6 9 2 4 5 8 1 6 7 8 9 2
321 4 968824 7996 2177 640 378 340 347 411 401 423 459 593 549 417 245 320 444 417 447 447 397 382 291 310 361 354 301 302 338 427 388 364 238 124 95 89 39 48 54 52 60 75 62 54 46 67 123 98 73 67 48 14 21 23 20 16 26 26 31 26 36 24 19 17 19 20 23 27 41 25 20 14 19 17 18 17 11 23 9 13 30 17 21 12 17 30 28 23 23 28 24 21 25 18 25 28 37 29 38 26 22 21 39 43 19 24 32 39 43 29 36 36 37 34 32 29 16 34 28 34 20 31 31 26 27 32 50 49 51 49 30 20 43 46 33 36 25 44 39 42 32 37 45 36 42 36 47 42 40 47 50 34 30 47 56 44 55 48 31 49 75 73 94 100 95 77 39 47 27 19 25 14 30 24 27 37 29 21 23 33 31 23 15 19 32 34 17 15 26 15 54 82 102 84 51 63 32 12 11 10 17 20 9 15 12 21 11 13 10 23 16 21 15 20 19 16 9 8 26 14 14 7 9 13 15 7 15 15 21 15 24 18 12 18 14 17 8 19 4 13 17 16 19 13 23 26 27 20 10 13 17 11 18 8 13 22 22 6 14 21 23 22 18 18 16 15 15 24 19 18 18 16 14 10 15 16 14 21 36 32 22 23 21 20 23 12 20 28 23 7 16 29 28 25 35 27 47 27 19 18 24 40 63 43 31 41 84 104 110 121 80 64 15 12 2 16 31 36 17 27 15 5 15 48 61 33 50 42 27 12
321 5 992559 4942 1304 290 60 32 72 74 73 89 122 127 121 104 30 2
321 6 985068 4435 1196 412 171 152 114 107 94 81 93 73 88 91 84 81 65 89 96 88 86 129 118 93 86 95 91 101 93 106 96 105 97 102 121 101 103 76 64 82 103 119 104 53 33 34 43 39 35 25 61 46 40 47 72 109 158 118 52 89 92 89 89 95 128 84 87 80 59 85 82 111 123 101 107 95 105 88 135 196 218 187 205 152 102 46 51 64 77 121 168 117 56 71 112 112 75 31 2
321 7 990669 5869 963 181 57 62 45 61 45 64 56 66 70 72 83 84 33 21 8 21 28 18 14 13 16 33 13 12 34 34 7 12 4 4 4 3 2 4 3 3 4 2 3 5 4 3 3 1 6 3 4 3 5 2 5 1 4 2 4 5 1 4 2 2 4 5 3 2 3 4 2 3 3 2 4 3 5 3 7 2 3 2 5 5 4 3 3 5 1 4 1 5 3 5 2 6 1 3 5 5 2 3 3 6 2 1 3 4 4 2 0 3 2 5 3 4 2 3 3 4 2 5 2 4 6 4 3 5 1 2 9 0 3 1 2 4 2 4 5 7 3 4 4 3 2 6 5 2 2 4 2 4 4 2 2 2 2 5 4 5 3 8 5 2 3 6 3 2 2 7 2 1 2 5 9 4 6 5 2 3 5 6 3 1 5 4 5 2 4 3 3 3 7 6 3 2 4 2 11 6 4 3 1 8 3 3 10 1 4 5 5 5 4 1 6 3 2 3 6 2 4 2 3 1 5 4 10 4 4 4 9 3 4 8 2 7 5 7 5 3 1 3 5 3 6 1 4 3 6 2 5 9 2 8 5 5 8 2 1 7 7 6 3 2 7 6 4 7 1 5 8 5 6 1 4 5 3 4 8 7 6 4 9 7 6 3 13 4 6 4 10 8 4 8 7 6 8 3 7 2 6 8 4 14 6 14 15 4 8 5 4 9 6 7 10 5 10 14 10 2
321 8 995906 2240 420 134 19 7 3 6 3 4 4 6 3 1 2 4 5 2 4 2 3 3 4 4 4 4 3 6 3 9 6 5 3 0 2 4 5 2 4 4 3 5 5 5 2 5 5 5 1 4 1 4 6 4 1 1 7 8 4 1 3 4 7 4 2 4 2 3 5 4 2 5 6 4 2 1 6 3 3 7 3 2 4 4 2 6 1 2 3 8 5 1 5 3 10 0 2 5 4 3 6 3 2 5 4 2 5 2 2 2 2 6 6 5 3 4 5 6 2 3 6 4 5 1 2 5 4 8 0 6 6 4 3 6 4 4 6 1 3 7 4 8 5 5 4 4 3 2 7 6 5 8 3 5 5 2 8 6 2 5 5 5 4 5 4 3 2 5 6 7 7 2 6 3 6 8 4 2 6 6 4 9 4 3 4 2 2 5 5 6 5 5 8 4 6 4 9 4 5 4 3 8 5 0 7 2 6 4 4 6 5 6 6 5 6 6 5 3 5 2 1 9 5 9 5 4 6 5 1 5 3 4 6 9 6 5 4 2 5 7 4 6 3 4 4 9 6 5 5 4 4 5 5 4 4 7 1 6 8 6 4 6 7 3 3 7 3 6 6 7 5 4 5 1 4 4 4 2 4 3 5 6 2 5 5 5 5 5 3 6 2 3 5 2 5 1 7 4 6 3 2
